fixture,lesson_id,card,chapter,card_type,arabic,source
chapter-16-lesson-01.json,ch16-l01,3,16,WORD,مَكْتَبٌ,images/words/cmtvrdagw0007585kmi0n032f.jpg (vocabulary مَكْتَب)
chapter-16-lesson-01.json,ch16-l01,4,16,WORD,دَفْتَرٌ,images/words/cmtvrdagz00b3585kpjwkhefn.jpg (vocabulary دَفْتَر)
chapter-16-lesson-01.json,ch16-l01,8,16,AYAH_PREVIEW,الَّذِي عَلَّمَ بِالْقَلَمِ,images/discover/qalam.webp
chapter-16-lesson-02.json,ch16-l02,1,16,WORD,أُسْتَاذٌ,images/discover/ch12-muallim-teacher.webp
chapter-16-lesson-02.json,ch16-l02,3,16,WORD,دَرْسٌ,images/discover/dars.webp
chapter-16-lesson-03.json,ch16-l03,1,16,WORD,أَمْسِ,images/words/cmtvrdagy004r585kg72v9rgk.jpg (vocabulary أَمْس)
chapter-16-lesson-03.json,ch16-l03,2,16,WORD,الْيَوْمَ,images/words/cmtvrdagy004z585k7v745z75.jpg (vocabulary الْيَوْم)
chapter-16-lesson-03.json,ch16-l03,3,16,WORD,غَدًا,images/discover/ghadan.webp
chapter-16-lesson-04.json,ch16-l04,6,16,WORD,قُلْ,images/words/cmtvrdagz00c9585kg70aqc43.jpg (vocabulary قُلْ)
chapter-16-lesson-05-review.json,ch16-l05,6,16,AYAH_PREVIEW,الَّذِي عَلَّمَ بِالْقَلَمِ,images/discover/qalam.webp
chapter-17-lesson-01.json,ch17-l01,1,17,CONCEPT,ذَهَبَ الطَّالِبُ,images/discover/ch05-dhahaba-movement.webp
chapter-17-lesson-01.json,ch17-l01,2,17,WORD,أَكَلَ,images/discover/akala.webp
chapter-17-lesson-01.json,ch17-l01,4,17,WORD,شَرِبَ,images/words/cmtvrdagy008d585kv2qcmzeb.jpg (vocabulary شَرِبَ)
chapter-17-lesson-02.json,ch17-l02,1,17,WORD,قَرَأَ,images/words/cmtvrdagw000o585kf8b0cqo2.jpg (vocabulary قَرَأَ)
